skill_level,accuracy_easy,accuracy_medium,accuracy_hard,avg_response_time,games_played,avg_session_duration
principiante,0.457,0.38,0.301,4.02,14.0,17.6
principiante,0.74,0.546,0.4,3.47,11.0,22.6
principiante,0.695,0.55,0.4,2.36,8.0,11.5
intermedio,0.799,0.691,0.47,1.45,12.0,14.7
principiante,0.47,0.35,0.227,4.01,11.0,23.5
principiante,0.628,0.502,0.4,2.65,10.0,7.3
intermedio,0.768,0.661,0.515,1.81,28.0,11.7
principiante,0.719,0.55,0.4,2.36,8.0,28.0
principiante,0.653,0.536,0.361,2.76,14.0,8.8
intermedio,0.763,0.623,0.464,1.82,35.0,27.2
intermedio,0.883,0.767,0.574,1.26,14.0,12.7
principiante,0.497,0.363,0.222,4.75,9.0,11.1
intermedio,0.811,0.719,0.486,1.69,13.0,28.2
principiante,0.517,0.385,0.283,2.86,2.0,11.8
intermedio,0.776,0.557,0.372,2.51,35.0,5.6
principiante,0.604,0.451,0.286,3.05,3.0,7.9
principiante,0.734,0.536,0.385,3.09,9.0,23.8
principiante,0.735,0.55,0.4,3.49,4.0,12.2
intermedio,0.897,0.796,0.615,1.65,28.0,7.6
principiante,0.641,0.55,0.337,3.28,10.0,10.4
intermedio,0.801,0.681,0.427,1.62,39.0,17.9
intermedio,0.882,0.644,0.469,1.52,16.0,18.0
intermedio,0.846,0.712,0.456,1.49,37.0,20.0
intermedio,0.767,0.652,0.476,1.96,32.0,20.8
principiante,0.652,0.55,0.383,2.61,11.0,17.4
intermedio,0.812,0.712,0.502,1.72,33.0,13.3
principiante,0.592,0.435,0.299,3.41,9.0,19.5
principiante,0.701,0.493,0.333,3.0,1.0,18.8
intermedio,0.766,0.557,0.379,2.51,19.0,29.7
intermedio,0.858,0.641,0.466,1.56,38.0,14.7
principiante,0.6,0.508,0.367,2.81,1.0,18.2
intermedio,0.863,0.743,0.518,1.45,35.0,7.9
principiante,0.658,0.55,0.4,3.46,7.0,25.0
principiante,0.582,0.422,0.295,2.75,13.0,10.4
intermedio,0.838,0.683,0.465,1.64,18.0,14.4
principiante,0.662,0.55,0.4,2.44,6.0,26.4
intermedio,0.898,0.715,0.455,1.96,28.0,26.7
intermedio,0.779,0.575,0.352,2.14,49.0,19.3
principiante,0.569,0.509,0.361,3.02,10.0,12.3
intermedio,0.846,0.626,0.422,1.85,39.0,19.4
intermedio,0.828,0.707,0.476,2.09,42.0,28.2
principiante,0.55,0.429,0.303,4.48,5.0,20.1
principiante,0.678,0.488,0.343,3.33,6.0,9.8
intermedio,0.803,0.605,0.418,1.9,38.0,28.6
intermedio,0.729,0.594,0.39,1.84,26.0,10.2
principiante,0.629,0.446,0.312,3.68,5.0,9.8
principiante,0.538,0.477,0.324,2.8,9.0,12.3
intermedio,0.829,0.595,0.463,1.76,22.0,14.7
principiante,0.719,0.55,0.398,3.8,6.0,18.6
principiante,0.482,0.4,0.306,3.58,11.0,5.5
intermedio,0.886,0.656,0.499,1.87,12.0,9.7
intermedio,0.791,0.641,0.498,1.48,42.0,23.1
principiante,0.466,0.399,0.256,3.43,3.0,21.6
intermedio,0.839,0.657,0.469,1.89,24.0,22.5
principiante,0.628,0.449,0.325,4.36,3.0,28.0
intermedio,0.834,0.611,0.426,2.08,44.0,21.7
intermedio,0.725,0.55,0.35,1.68,49.0,20.6
intermedio,0.862,0.741,0.512,1.69,34.0,26.3
principiante,0.557,0.409,0.315,4.16,9.0,6.6
intermedio,0.724,0.585,0.454,1.91,29.0,14.6
intermedio,0.871,0.74,0.484,1.34,20.0,15.1
principiante,0.703,0.496,0.378,2.83,2.0,12.9
intermedio,0.882,0.786,0.484,1.59,22.0,9.4
principiante,0.537,0.426,0.308,3.51,6.0,24.1
intermedio,0.899,0.681,0.482,1.69,26.0,10.7
intermedio,0.744,0.562,0.399,1.72,15.0,10.4
principiante,0.639,0.502,0.356,2.76,5.0,22.4
intermedio,0.874,0.727,0.5,1.86,46.0,11.9
principiante,0.578,0.476,0.293,2.79,3.0,19.6
principiante,0.519,0.438,0.326,3.94,10.0,9.5
intermedio,0.73,0.606,0.384,2.39,34.0,5.2
intermedio,0.876,0.779,0.582,1.19,36.0,11.0
principiante,0.708,0.55,0.368,3.09,2.0,30.0
intermedio,0.743,0.664,0.493,2.23,27.0,14.7
intermedio,0.877,0.681,0.51,1.35,29.0,24.9
intermedio,0.872,0.757,0.509,1.72,22.0,6.0
intermedio,0.751,0.55,0.35,2.42,11.0,19.8
intermedio,0.788,0.566,0.421,1.72,17.0,20.1
principiante,0.739,0.533,0.371,3.24,8.0,14.1
intermedio,0.837,0.696,0.517,1.5,22.0,13.6
intermedio,0.874,0.636,0.398,1.56,48.0,12.2
principiante,0.485,0.425,0.29,3.58,10.0,8.0
principiante,0.559,0.457,0.275,3.92,13.0,12.3
intermedio,0.801,0.672,0.482,2.06,12.0,17.8
principiante,0.639,0.536,0.37,3.47,9.0,27.5
intermedio,0.853,0.613,0.431,1.62,17.0,14.5
intermedio,0.776,0.631,0.393,2.4,27.0,14.2
intermedio,0.807,0.706,0.553,1.48,28.0,29.0
intermedio,0.708,0.619,0.435,1.9,29.0,24.5
principiante,0.692,0.55,0.4,3.17,3.0,21.8
intermedio,0.896,0.698,0.43,1.38,33.0,23.4
intermedio,0.768,0.606,0.445,1.94,44.0,28.4
intermedio,0.735,0.565,0.35,1.89,40.0,29.0
principiante,0.675,0.55,0.357,3.87,8.0,18.4
intermedio,0.866,0.748,0.477,1.79,21.0,26.0
principiante,0.56,0.402,0.286,4.4,12.0,8.4
intermedio,0.757,0.625,0.432,1.92,40.0,7.3
intermedio,0.715,0.55,0.394,2.48,28.0,25.1
intermedio,0.732,0.628,0.454,1.53,34.0,16.9
intermedio,0.889,0.657,0.479,1.96,32.0,24.1
principiante,0.487,0.427,0.299,3.68,9.0,18.6
intermedio,0.895,0.636,0.455,2.04,29.0,26.3
intermedio,0.716,0.561,0.442,2.25,13.0,15.1
principiante,0.658,0.55,0.4,2.78,12.0,23.4
principiante,0.514,0.388,0.252,2.98,7.0,29.8
principiante,0.616,0.5,0.388,3.15,2.0,19.5
principiante,0.678,0.55,0.386,3.0,5.0,22.8
intermedio,0.888,0.756,0.485,1.47,42.0,29.5
principiante,0.507,0.359,0.249,4.07,1.0,15.7
principiante,0.704,0.55,0.4,3.36,4.0,30.0
principiante,0.647,0.469,0.313,4.21,4.0,23.9
intermedio,0.819,0.629,0.41,1.56,30.0,27.8
intermedio,0.702,0.55,0.428,2.31,31.0,24.5
intermedio,0.745,0.661,0.516,2.05,10.0,5.5
intermedio,0.787,0.65,0.434,1.7,33.0,15.1
intermedio,0.755,0.613,0.41,2.37,46.0,24.0
principiante,0.701,0.55,0.4,3.29,13.0,29.8
intermedio,0.817,0.644,0.391,1.74,42.0,18.5
intermedio,0.862,0.767,0.474,1.37,48.0,23.3
intermedio,0.828,0.637,0.501,1.42,31.0,6.6
principiante,0.539,0.387,0.279,4.04,10.0,22.9
intermedio,0.861,0.743,0.592,1.52,28.0,21.2
intermedio,0.783,0.686,0.44,2.11,32.0,15.5
principiante,0.509,0.357,0.26,4.74,4.0,7.7
principiante,0.68,0.55,0.4,2.73,13.0,29.9
principiante,0.469,0.376,0.3,4.53,9.0,7.4
principiante,0.718,0.55,0.4,2.76,10.0,21.9
intermedio,0.738,0.55,0.416,2.36,40.0,11.0
intermedio,0.86,0.673,0.435,1.69,43.0,12.3
intermedio,0.786,0.624,0.394,1.52,47.0,27.7
intermedio,0.884,0.778,0.536,1.36,25.0,16.6
intermedio,0.87,0.715,0.551,1.41,30.0,18.1
intermedio,0.826,0.647,0.407,1.51,10.0,17.8
principiante,0.728,0.55,0.348,2.37,9.0,25.1
principiante,0.659,0.512,0.391,3.5,12.0,28.9
intermedio,0.724,0.55,0.35,2.34,41.0,26.9
intermedio,0.859,0.685,0.457,1.42,19.0,14.9
intermedio,0.826,0.668,0.418,1.72,13.0,16.7
intermedio,0.856,0.634,0.39,1.84,10.0,9.5
intermedio,0.828,0.623,0.384,1.58,18.0,17.5
intermedio,0.704,0.578,0.379,2.45,21.0,29.8
principiante,0.626,0.462,0.31,3.18,1.0,16.7
principiante,0.702,0.55,0.4,3.3,2.0,26.3
intermedio,0.79,0.625,0.385,2.1,42.0,5.3
principiante,0.486,0.393,0.236,3.57,6.0,18.3
intermedio,0.726,0.553,0.354,2.53,40.0,29.2
intermedio,0.708,0.55,0.409,1.92,14.0,17.3
intermedio,0.851,0.731,0.511,1.93,20.0,17.1
principiante,0.621,0.529,0.4,2.98,12.0,5.7
intermedio,0.711,0.55,0.35,1.99,27.0,14.7
intermedio,0.748,0.555,0.361,2.39,21.0,22.2
intermedio,0.814,0.694,0.437,1.85,20.0,24.3
intermedio,0.898,0.752,0.578,1.43,40.0,11.4
intermedio,0.73,0.55,0.35,1.74,34.0,18.7
intermedio,0.875,0.616,0.46,2.14,36.0,21.1
principiante,0.703,0.506,0.353,2.63,5.0,7.9
principiante,0.614,0.545,0.369,4.08,13.0,28.5
principiante,0.514,0.412,0.316,4.19,8.0,14.5
principiante,0.51,0.412,0.255,3.74,11.0,11.6
intermedio,0.849,0.623,0.397,1.84,21.0,10.8
principiante,0.49,0.373,0.25,4.57,4.0,27.8
intermedio,0.872,0.783,0.516,1.7,14.0,10.4
principiante,0.659,0.501,0.393,4.04,14.0,20.7
principiante,0.702,0.512,0.359,2.47,1.0,11.1
intermedio,0.848,0.756,0.556,1.61,47.0,8.9
intermedio,0.814,0.725,0.51,1.93,31.0,21.3
principiante,0.726,0.55,0.4,2.68,6.0,11.9
intermedio,0.821,0.602,0.457,2.05,13.0,26.2
principiante,0.739,0.55,0.388,2.73,4.0,17.3
intermedio,0.887,0.629,0.404,1.87,34.0,11.3
intermedio,0.83,0.666,0.459,2.17,32.0,5.5
principiante,0.665,0.501,0.321,3.02,4.0,9.2
principiante,0.593,0.487,0.349,3.26,5.0,24.6
principiante,0.616,0.504,0.391,3.44,5.0,24.3
intermedio,0.751,0.624,0.389,2.02,27.0,15.0
intermedio,0.895,0.638,0.488,1.83,35.0,16.0
principiante,0.708,0.55,0.4,2.65,11.0,27.7
principiante,0.544,0.417,0.257,3.66,4.0,29.6
intermedio,0.818,0.589,0.418,2.1,41.0,5.1
intermedio,0.847,0.64,0.466,1.65,49.0,14.5
intermedio,0.751,0.603,0.364,1.82,30.0,5.8
principiante,0.629,0.55,0.4,2.93,8.0,20.9
intermedio,0.79,0.653,0.421,2.03,40.0,7.3
intermedio,0.799,0.652,0.416,2.23,36.0,13.9
principiante,0.7,0.55,0.4,2.98,6.0,7.1
intermedio,0.721,0.627,0.469,1.67,15.0,14.4
intermedio,0.858,0.654,0.397,2.2,23.0,25.5
principiante,0.495,0.387,0.239,4.95,8.0,7.5
intermedio,0.872,0.655,0.423,1.77,29.0,25.0
principiante,0.6,0.498,0.349,2.73,5.0,29.3
intermedio,0.805,0.654,0.415,1.61,22.0,12.8
principiante,0.694,0.55,0.4,3.19,11.0,5.6
principiante,0.595,0.44,0.317,3.15,3.0,9.4
intermedio,0.732,0.615,0.462,1.59,30.0,5.1
intermedio,0.749,0.637,0.415,2.29,45.0,24.1
intermedio,0.783,0.59,0.379,2.14,26.0,19.4
intermedio,0.888,0.675,0.51,1.57,15.0,25.2
intermedio,0.754,0.57,0.448,2.19,33.0,17.2
principiante,0.524,0.383,0.244,3.44,3.0,22.2
intermedio,0.861,0.61,0.487,1.48,41.0,27.7
intermedio,0.773,0.558,0.405,1.67,49.0,11.5
principiante,0.627,0.418,0.308,2.89,4.0,23.0
intermedio,0.744,0.626,0.473,1.86,37.0,20.7
principiante,0.629,0.469,0.293,2.72,10.0,24.1
principiante,0.451,0.372,0.249,4.62,2.0,10.5
intermedio,0.701,0.606,0.407,2.08,37.0,20.7
principiante,0.499,0.35,0.249,4.02,11.0,18.4
principiante,0.882,0.55,0.37,3.15,13.0,28.6
intermedio,0.872,0.638,0.44,1.71,37.0,29.0
intermedio,0.749,0.593,0.431,2.03,39.0,26.7
intermedio,0.86,0.678,0.473,2.0,38.0,9.5
principiante,0.717,0.476,0.366,3.17,13.0,27.6
principiante,0.657,0.55,0.362,2.65,2.0,13.0
principiante,0.636,0.541,0.342,3.96,13.0,20.9
principiante,0.711,0.516,0.391,2.52,12.0,10.9
intermedio,0.856,0.729,0.526,1.71,35.0,26.0
intermedio,0.806,0.711,0.438,1.53,27.0,24.8
principiante,0.531,0.435,0.337,4.49,2.0,16.4
intermedio,0.81,0.67,0.436,2.2,16.0,23.2
intermedio,0.707,0.554,0.432,2.53,35.0,27.1
principiante,0.469,0.36,0.221,5.05,12.0,20.1
intermedio,0.741,0.55,0.42,1.98,26.0,10.9
intermedio,0.729,0.55,0.358,2.57,14.0,5.6
principiante,0.651,0.539,0.368,3.21,6.0,17.3
principiante,0.662,0.484,0.346,3.53,6.0,10.6
principiante,0.582,0.482,0.326,2.68,9.0,25.1
intermedio,0.851,0.695,0.443,1.49,17.0,7.0
intermedio,0.797,0.682,0.461,1.75,25.0,21.3
intermedio,0.848,0.706,0.474,1.95,21.0,10.7
principiante,0.522,0.377,0.253,3.44,5.0,5.1
principiante,0.562,0.411,0.283,3.88,9.0,8.2
intermedio,0.868,0.721,0.466,1.5,22.0,13.7
intermedio,0.892,0.704,0.491,1.53,46.0,17.6
intermedio,0.857,0.693,0.461,1.43,45.0,14.6
intermedio,0.734,0.55,0.35,2.01,29.0,17.1
intermedio,0.843,0.714,0.448,2.1,42.0,8.4
principiante,0.642,0.5,0.327,4.23,6.0,7.3
principiante,0.628,0.527,0.342,3.35,2.0,14.7
principiante,0.702,0.509,0.399,3.77,8.0,8.8
principiante,0.669,0.55,0.357,2.36,10.0,19.7
intermedio,0.7,0.6,0.4,3.0,15.0,15.0
intermedio,0.706,0.55,0.35,1.86,19.0,14.0
principiante,0.693,0.55,0.4,3.03,5.0,7.9
principiante,0.625,0.535,0.4,3.74,8.0,12.4
principiante,0.469,0.337,0.213,4.29,3.0,10.6
principiante,0.635,0.546,0.38,2.58,2.0,28.0
principiante,0.647,0.514,0.399,2.75,10.0,12.0
intermedio,0.822,0.669,0.497,2.1,46.0,14.4
intermedio,0.757,0.618,0.444,1.88,43.0,11.2
principiante,0.675,0.531,0.384,2.61,10.0,14.5
intermedio,0.751,0.565,0.402,1.96,47.0,6.4
intermedio,0.809,0.61,0.452,2.01,49.0,10.3
principiante,0.633,0.529,0.351,3.91,14.0,21.0
principiante,0.635,0.55,0.358,3.29,13.0,17.9
principiante,0.793,0.506,0.372,3.08,11.0,18.4
intermedio,0.88,0.664,0.505,2.06,20.0,26.2
principiante,0.734,0.55,0.4,2.97,6.0,26.8
intermedio,0.871,0.759,0.47,1.32,20.0,6.8
intermedio,0.835,0.733,0.558,1.36,21.0,7.1
intermedio,0.8,0.703,0.551,1.33,42.0,13.6
principiante,0.584,0.433,0.264,4.34,14.0,5.5
intermedio,0.835,0.595,0.428,2.09,18.0,12.5
intermedio,0.897,0.66,0.497,1.55,17.0,26.4
intermedio,0.792,0.704,0.517,1.37,28.0,20.7
intermedio,0.897,0.751,0.487,1.81,14.0,21.4
principiante,0.497,0.411,0.296,3.15,10.0,16.9
intermedio,0.788,0.694,0.52,1.72,34.0,11.4
principiante,0.548,0.385,0.295,4.35,2.0,9.0
intermedio,0.715,0.566,0.441,1.65,49.0,27.5
principiante,0.665,0.475,0.292,2.55,14.0,23.5
principiante,0.611,0.471,0.316,4.09,12.0,10.9
intermedio,0.861,0.604,0.401,1.81,19.0,21.3
intermedio,0.76,0.603,0.434,1.66,39.0,28.3
principiante,0.555,0.429,0.326,3.3,3.0,16.4
principiante,0.522,0.373,0.234,3.15,3.0,12.8
principiante,0.68,0.497,0.359,2.64,11.0,19.9
intermedio,0.873,0.738,0.502,1.4,24.0,11.8
principiante,0.642,0.509,0.325,3.72,8.0,22.5
intermedio,0.752,0.578,0.394,2.24,30.0,14.8
principiante,0.612,0.514,0.38,2.74,8.0,7.3
principiante,0.741,0.55,0.352,2.84,8.0,11.1
principiante,0.492,0.422,0.306,3.83,13.0,5.7
principiante,0.64,0.55,0.4,3.72,13.0,28.6
principiante,0.607,0.439,0.339,3.92,1.0,13.4
principiante,0.744,0.526,0.4,3.09,5.0,27.7
principiante,0.621,0.458,0.3,3.0,3.0,24.6
intermedio,0.708,0.583,0.441,2.02,24.0,9.7
intermedio,0.72,0.633,0.424,2.02,24.0,29.8
intermedio,0.779,0.592,0.458,2.14,44.0,22.8
intermedio,0.831,0.7,0.502,1.59,33.0,28.9
principiante,0.579,0.492,0.385,3.52,3.0,5.3
intermedio,0.811,0.584,0.444,1.79,35.0,14.1
principiante,0.602,0.498,0.306,3.03,6.0,20.7
principiante,0.709,0.519,0.32,3.22,5.0,8.9
intermedio,0.736,0.573,0.452,1.66,40.0,11.6
principiante,0.54,0.403,0.252,3.32,5.0,24.3
principiante,0.85,0.55,0.397,3.77,7.0,22.2
principiante,0.64,0.517,0.319,3.96,5.0,23.8
intermedio,0.76,0.551,0.423,1.89,36.0,16.7
principiante,0.75,0.55,0.4,2.88,9.0,22.0
intermedio,0.867,0.775,0.533,1.47,43.0,11.8
intermedio,0.84,0.692,0.442,1.74,38.0,29.2
intermedio,0.762,0.553,0.354,2.18,12.0,27.6
intermedio,0.732,0.599,0.431,1.68,14.0,23.4
intermedio,0.74,0.591,0.448,1.95,31.0,24.5
intermedio,0.867,0.644,0.402,2.12,16.0,21.5
intermedio,0.891,0.668,0.515,1.4,44.0,28.8
principiante,0.707,0.514,0.383,3.77,6.0,14.5
principiante,0.576,0.422,0.328,3.71,4.0,26.0
principiante,0.643,0.536,0.389,2.71,6.0,15.4
principiante,0.732,0.55,0.398,2.87,8.0,28.7
principiante,0.623,0.498,0.318,3.82,4.0,16.0
intermedio,0.841,0.625,0.421,1.76,49.0,10.0
intermedio,0.835,0.603,0.446,1.81,47.0,28.0
intermedio,0.856,0.72,0.552,1.27,39.0,25.6
intermedio,0.741,0.624,0.377,1.94,41.0,14.3
principiante,0.529,0.392,0.273,3.34,5.0,10.1
intermedio,0.796,0.616,0.482,1.74,24.0,19.4
intermedio,0.735,0.634,0.449,1.6,40.0,20.5
intermedio,0.806,0.57,0.415,1.58,27.0,27.0
principiante,0.717,0.55,0.4,3.48,9.0,21.4
intermedio,0.734,0.627,0.393,1.96,30.0,28.7
intermedio,0.787,0.616,0.46,2.04,43.0,8.0
principiante,0.533,0.478,0.3,3.06,3.0,19.9
intermedio,0.809,0.646,0.405,1.88,16.0,27.3
principiante,0.64,0.55,0.374,3.93,8.0,8.9
intermedio,0.835,0.592,0.422,2.13,15.0,11.6
principiante,0.699,0.506,0.378,3.25,5.0,17.1
intermedio,0.721,0.55,0.408,2.11,28.0,25.9
principiante,0.614,0.477,0.379,2.68,6.0,24.8
intermedio,0.79,0.667,0.478,1.8,17.0,15.7
intermedio,0.707,0.561,0.409,2.4,11.0,16.9
intermedio,0.9,0.5,0.3,3.5,20.0,15.0
principiante,0.596,0.521,0.4,3.16,4.0,23.7
intermedio,0.84,0.657,0.461,1.37,37.0,26.0
intermedio,0.805,0.582,0.364,2.04,47.0,27.9
principiante,0.479,0.34,0.216,4.15,10.0,5.2
principiante,0.737,0.55,0.4,3.28,8.0,28.6
intermedio,0.71,0.55,0.396,1.75,19.0,8.2
intermedio,0.758,0.626,0.39,2.12,21.0,17.0
intermedio,0.74,0.55,0.395,2.13,41.0,6.7
intermedio,0.7,0.603,0.371,1.79,25.0,26.4
principiante,0.641,0.546,0.345,3.21,1.0,15.9
principiante,0.506,0.371,0.23,4.28,11.0,14.3
intermedio,0.818,0.585,0.368,1.59,42.0,10.8
intermedio,0.721,0.55,0.425,2.5,13.0,23.2
principiante,0.637,0.392,0.29,3.22,9.0,6.7
principiante,0.474,0.353,0.26,3.09,12.0,20.1
intermedio,0.831,0.684,0.453,1.43,13.0,7.3
intermedio,0.77,0.597,0.432,2.15,14.0,14.8
intermedio,0.802,0.582,0.435,1.84,20.0,23.2
intermedio,0.764,0.564,0.373,2.51,26.0,14.5
intermedio,0.814,0.71,0.437,1.43,44.0,19.1
intermedio,0.885,0.746,0.51,1.59,13.0,26.1
intermedio,0.709,0.55,0.412,1.62,18.0,16.6
principiante,0.501,0.356,0.265,3.87,12.0,25.2
intermedio,0.787,0.669,0.512,1.99,11.0,9.4
principiante,0.734,0.55,0.397,2.5,12.0,17.9
principiante,0.593,0.463,0.293,3.86,14.0,19.8
intermedio,0.811,0.691,0.489,2.02,11.0,18.0
intermedio,0.737,0.55,0.35,2.4,15.0,29.8
principiante,0.664,0.55,0.382,3.7,2.0,17.4
intermedio,0.739,0.55,0.35,1.64,35.0,24.1
intermedio,0.825,0.602,0.384,2.26,20.0,28.1
principiante,0.721,0.534,0.327,3.83,6.0,16.7
intermedio,0.894,0.707,0.558,1.69,22.0,7.7
intermedio,0.853,0.649,0.495,1.57,27.0,27.7
principiante,0.684,0.542,0.331,4.08,1.0,14.4
principiante,0.615,0.515,0.376,2.83,10.0,25.4
intermedio,0.716,0.55,0.418,1.99,28.0,21.1
principiante,0.557,0.474,0.286,2.88,1.0,28.2
intermedio,0.889,0.695,0.509,1.61,35.0,22.1
intermedio,0.781,0.69,0.504,1.43,47.0,20.2
intermedio,0.7,0.604,0.373,2.21,46.0,22.1
principiante,0.482,0.371,0.254,4.31,10.0,20.9
intermedio,0.738,0.55,0.406,1.66,19.0,25.2
intermedio,0.842,0.749,0.486,1.84,30.0,27.4
intermedio,0.898,0.679,0.475,1.55,27.0,21.5
intermedio,0.854,0.627,0.382,2.01,40.0,29.7
intermedio,0.767,0.664,0.399,1.75,19.0,6.7
intermedio,0.773,0.676,0.459,1.69,18.0,14.3
principiante,0.662,0.473,0.339,3.09,9.0,21.4
principiante,0.68,0.55,0.4,2.94,2.0,21.2
principiante,0.563,0.404,0.289,2.8,7.0,15.3
principiante,0.525,0.396,0.298,3.67,11.0,9.7
principiante,0.488,0.354,0.249,3.44,6.0,5.0
principiante,0.503,0.451,0.311,3.76,13.0,26.9
intermedio,0.773,0.55,0.35,2.08,37.0,6.0
intermedio,0.78,0.601,0.453,2.18,16.0,23.2
principiante,0.557,0.47,0.31,3.71,7.0,11.3
principiante,0.579,0.437,0.329,3.06,10.0,23.9
principiante,0.607,0.477,0.288,2.8,1.0,14.5
principiante,0.463,0.393,0.262,3.88,14.0,19.8
intermedio,0.771,0.563,0.405,2.31,25.0,17.0
intermedio,0.751,0.649,0.453,1.93,22.0,23.2
intermedio,0.882,0.679,0.492,1.32,17.0,8.9
principiante,0.467,0.338,0.211,4.41,11.0,23.5
principiante,0.67,0.523,0.321,3.8,5.0,20.4
principiante,0.692,0.55,0.4,3.56,4.0,18.6
principiante,0.518,0.449,0.295,3.98,10.0,7.3
principiante,0.678,0.513,0.344,3.95,14.0,10.1
principiante,0.522,0.38,0.265,4.84,4.0,14.5
intermedio,0.722,0.62,0.384,1.82,44.0,10.2
principiante,0.571,0.419,0.31,3.35,14.0,20.6
principiante,0.664,0.55,0.356,2.77,2.0,26.8
principiante,0.49,0.427,0.27,3.44,5.0,11.5
intermedio,0.731,0.574,0.406,1.59,27.0,27.3
principiante,0.725,0.55,0.378,3.22,6.0,25.0
intermedio,0.729,0.629,0.405,2.19,47.0,6.4
intermedio,0.844,0.722,0.53,1.72,45.0,10.5
intermedio,0.788,0.63,0.429,2.06,26.0,26.2
intermedio,0.788,0.652,0.492,1.42,33.0,16.1
intermedio,0.791,0.587,0.352,1.78,30.0,18.9
principiante,0.65,0.478,0.305,2.6,3.0,12.4
intermedio,0.705,0.591,0.392,1.65,34.0,14.7
intermedio,0.851,0.758,0.491,1.49,17.0,29.1
intermedio,0.844,0.718,0.462,1.66,34.0,23.6
intermedio,0.798,0.63,0.403,1.75,11.0,25.5
principiante,0.568,0.424,0.263,3.09,12.0,22.5
intermedio,0.847,0.676,0.515,2.05,47.0,24.9
principiante,0.579,0.474,0.379,3.92,6.0,7.8
